study,estimate,loCI,hiCI
Rodriquez-Andres and Hempstead (2011),-5.6,-3.9,-7.4
Matsubayashi and Ueda 2011,-6.622009569,-11.31078044,-1.933238697
"Ueda, Mori, and Matsubayashi 2014",4.6,2.4,6.7
"Stuckler, Basu et al 2009",0.49,-0.04,1.02
