x,est
1,0.009353835
2,0.005185524
3,0.00814889
4,0.00790872
5,0.0057058
6,0.005262119
7,0.005830775
8,0.007607675
9,0.004613789
10,0.00792214
11,0.004487185
12,0.005519763
13,0.007318581
14,0.006859188
15,0.007267303
16,0.006474004
17,0.004340756
18,0.00732846
19,0.007572822
20,0.006940909
21,0.006725271
22,0.007194147
23,0.005397806
24,0.00619614
25,0.008136579
26,0.007570961
27,0.008626969
28,0.005388582
29,0.001990333
30,0.008510019
31,0.005818595
32,0.007411848
33,0.005977696
34,0.006311804
35,0.004880438
36,0.008371062
37,0.007587465
38,0.007026829
39,0.006913072
40,0.008260815
41,0.006058361
42,0.007828818
43,0.007640108
44,0.006544239
45,0.005674733
46,0.006669608
47,0.007117457
48,0.008905836
49,0.00549425
50,0.006565867
51,0.006474644
52,0.005780279
53,0.007097195
54,0.009208354
55,0.007753003
56,0.007387873
57,0.005199699
58,0.00782847
59,0.008327748
60,0.006055045
61,0.00538382
62,0.005652622
63,0.007285069
64,0.005961921
65,0.00662493
66,0.006967231
67,0.003505609
68,0.004772314
69,0.007580582
70,0.007548503
71,0.004987897
72,0.006764398
73,0.008744725
74,0.005568379
75,0.005324164
76,0.004273875
77,0.008798107
78,0.005105539
79,0.006018943
80,0.009166225
81,0.007342155
82,0.006046453
83,0.005119175
84,0.006510919
85,0.005523294
86,0.005456767
87,0.005895169
88,0.007419721
89,0.009277207
90,0.004508656
91,0.00776139
92,0.007328364
93,0.005086012
94,0.005906542
95,0.006693482
96,0.006583547
97,0.007446699
98,0.006554734
99,0.007849502
100,0.006683982
101,0.009252947
102,0.006618572
103,0.00533367
104,0.007708128
105,0.007981378
106,0.006387321
107,0.007294857
108,0.007713616
109,0.006248244
110,0.005309071
111,0.006540135
112,0.00824589
113,0.007520538
114,0.006810707
115,0.005456809
116,0.00712038
117,0.005210415
118,0.007094618
119,0.006869059
120,0.005771533
121,0.006975737
122,0.006040643
123,0.006777215
124,0.005436077
125,0.00877666
126,0.005351976
127,0.006535027
128,0.007738667
129,0.007367772
130,0.009255696
131,0.006383621
132,0.005178309
133,0.00436375
134,0.005716356
135,0.005790279
136,0.006905727
137,0.005735426
138,0.008598286
139,0.00360641
140,0.006030106
141,0.004966642
142,0.008235734
143,0.006197647
144,0.006464774
145,0.00896449
146,0.005825449
147,0.006330885
148,0.004524186
149,0.006341106
150,0.006564253
151,0.004378317
152,0.007554232
153,0.00683064
154,0.008017398
155,0.003706088
156,0.005964654
157,0.006611955
158,0.005161257
159,0.006609218
160,0.006448138
161,0.006315846
162,0.007395982
163,0.007157184
164,0.007901827
165,0.008185889
166,0.004318404
167,0.006481763
168,0.006422886
169,0.006692289
170,0.007661864
171,0.005627398
172,0.005581087
173,0.008362999
174,0.007682989
175,0.00668173
